Datetime,Market 3 Price [£/MWh]
1/1/2018,48.6
1/2/2018,49.6
1/3/2018,48.2
1/4/2018,50.4
1/5/2018,55
1/6/2018,53
1/7/2018,52.2
1/8/2018,54.4
1/9/2018,53.8
1/10/2018,54.4
1/11/2018,54.8
1/12/2018,50.6
1/13/2018,48.2
1/14/2018,47.2
1/15/2018,50.8
1/16/2018,52
1/17/2018,50.4
1/18/2018,50.8
1/19/2018,52
1/20/2018,56.4
1/21/2018,51.4
1/22/2018,46.4
1/23/2018,45.6
1/24/2018,49.8
1/25/2018,53.2
1/26/2018,50.2
1/27/2018,44
1/28/2018,40.2
1/29/2018,41
1/30/2018,47.8
1/31/2018,48.6
2/1/2018,48.4
2/2/2018,49.6
2/3/2018,49.8
2/4/2018,49.6
2/5/2018,50.4
2/6/2018,50.8
2/7/2018,52.2
2/8/2018,51.8
2/9/2018,50
2/10/2018,48.2
2/11/2018,47.6
2/12/2018,49
2/13/2018,50.4
2/14/2018,49.8
2/15/2018,48.8
2/16/2018,50.2
2/17/2018,52
2/18/2018,51.4
2/19/2018,50.4
2/20/2018,50
2/21/2018,52.8
2/22/2018,52.8
2/23/2018,54
2/24/2018,51.4
2/25/2018,49.8
2/26/2018,55.2
2/27/2018,69.2
2/28/2018,88.4
3/1/2018,94
3/2/2018,90.4
3/3/2018,78.6
3/4/2018,69.4
3/5/2018,60.2
3/6/2018,57
3/7/2018,58
3/8/2018,57.4
3/9/2018,56
3/10/2018,53.2
3/11/2018,53.6
3/12/2018,57.6
3/13/2018,59.8
3/14/2018,53.6
3/15/2018,53.8
3/16/2018,55.2
3/17/2018,53
3/18/2018,54.2
3/19/2018,54.2
3/20/2018,52.2
3/21/2018,52.2
3/22/2018,52.4
3/23/2018,54.6
3/24/2018,53.6
3/25/2018,51.2
3/26/2018,51.2
3/27/2018,51.4
3/28/2018,53.6
3/29/2018,54
3/30/2018,55.2
3/31/2018,55.2
4/1/2018,53.8
4/2/2018,49.8
4/3/2018,48
4/4/2018,49.2
4/5/2018,48.4
4/6/2018,47
4/7/2018,49.8
4/8/2018,53.6
4/9/2018,59.8
4/10/2018,59.2
4/11/2018,61.6
4/12/2018,62.8
4/13/2018,63
4/14/2018,51
4/15/2018,48.2
4/16/2018,45.8
4/17/2018,43.6
4/18/2018,48.6
4/19/2018,52
4/20/2018,47.8
4/21/2018,46.6
4/22/2018,47.2
4/23/2018,45
4/24/2018,45.8
4/25/2018,45.8
4/26/2018,48
4/27/2018,53
4/28/2018,55.4
4/29/2018,54.6
4/30/2018,51.8
5/1/2018,49
5/2/2018,49.8
5/3/2018,52.2
5/4/2018,50
5/5/2018,47.4
5/6/2018,48.6
5/7/2018,50.4
5/8/2018,51.6
5/9/2018,50
5/10/2018,49.4
5/11/2018,50.4
5/12/2018,54.6
5/13/2018,52.2
5/14/2018,52
5/15/2018,55.2
5/16/2018,51.4
5/17/2018,51.2
5/18/2018,52.8
5/19/2018,51.2
5/20/2018,51.4
5/21/2018,55.2
5/22/2018,53
5/23/2018,56.6
5/24/2018,62.6
5/25/2018,60.8
5/26/2018,53
5/27/2018,48.6
5/28/2018,55.2
5/29/2018,59.6
5/30/2018,63.8
5/31/2018,62.8
6/1/2018,59.6
6/2/2018,58.6
6/3/2018,59.6
6/4/2018,59.4
6/5/2018,57.2
6/6/2018,56
6/7/2018,58.2
6/8/2018,59.8
6/9/2018,56.6
6/10/2018,55
6/11/2018,53.4
6/12/2018,53.4
6/13/2018,50
6/14/2018,48.4
6/15/2018,53.2
6/16/2018,51.6
6/17/2018,50.4
6/18/2018,51.8
6/19/2018,57.4
6/20/2018,54.8
6/21/2018,50
6/22/2018,50.2
6/23/2018,50.6
6/24/2018,52.6
6/25/2018,56.6
6/26/2018,58.2
6/27/2018,54
6/28/2018,49.8
6/29/2018,50.6
6/30/2018,52.8
7/1/2018,57
7/2/2018,59.8
7/3/2018,58.4
7/4/2018,59.8
7/5/2018,59.4
7/6/2018,61.2
7/7/2018,58.2
7/8/2018,55.6
7/9/2018,54.8
7/10/2018,56.6
7/11/2018,55.8
7/12/2018,61.2
7/13/2018,65.4
7/14/2018,57.6
7/15/2018,55.2
7/16/2018,64
7/17/2018,62.8
7/18/2018,61.8
7/19/2018,58.2
7/20/2018,56.2
7/21/2018,55.6
7/22/2018,55.8
7/23/2018,58.8
7/24/2018,57.4
7/25/2018,56.8
7/26/2018,60.8
7/27/2018,57.4
7/28/2018,45
7/29/2018,52
7/30/2018,59
7/31/2018,56.4
8/1/2018,55.4
8/2/2018,57.2
8/3/2018,59
8/4/2018,57.8
8/5/2018,56.4
8/6/2018,58.4
8/7/2018,58.4
8/8/2018,55.4
8/9/2018,57
8/10/2018,57
8/11/2018,55.4
8/12/2018,61.6
8/13/2018,69.4
8/14/2018,64.6
8/15/2018,60.8
8/16/2018,57.8
8/17/2018,58
8/18/2018,56.4
8/19/2018,60.8
8/20/2018,79.2
8/21/2018,73.6
8/22/2018,66.2
8/23/2018,65
8/24/2018,59.2
8/25/2018,56.6
8/26/2018,55.8
8/27/2018,58.6
8/28/2018,65.4
8/29/2018,67.4
8/30/2018,63.8
8/31/2018,61.8
9/1/2018,61.8
9/2/2018,60.4
9/3/2018,61.8
9/4/2018,64.2
9/5/2018,67
9/6/2018,68.8
9/7/2018,69.4
9/8/2018,71.6
9/9/2018,65
9/10/2018,60.2
9/11/2018,60.8
9/12/2018,66.8
9/13/2018,66.8
9/14/2018,65.4
9/15/2018,61.2
9/16/2018,56.2
9/17/2018,59
9/18/2018,53.6
9/19/2018,58.4
9/20/2018,68
9/21/2018,64.8
9/22/2018,69.2
9/23/2018,71.6
9/24/2018,72.4
9/25/2018,69.2
9/26/2018,62.6
9/27/2018,66.4
9/28/2018,65.6
9/29/2018,63.8
9/30/2018,64.6
10/1/2018,63.6
10/2/2018,62
10/3/2018,67.6
10/4/2018,68.2
10/5/2018,67.2
10/6/2018,63
10/7/2018,60.6
10/8/2018,62.6
10/9/2018,67.2
10/10/2018,65.6
10/11/2018,61.4
10/12/2018,56.2
10/13/2018,58.8
10/14/2018,63.4
10/15/2018,66
10/16/2018,66.8
10/17/2018,64.8
10/18/2018,64.2
10/19/2018,65
10/20/2018,64.8
10/21/2018,60.8
10/22/2018,55.6
10/23/2018,53.8
10/24/2018,58.6
10/25/2018,64.6
10/26/2018,64.2
10/27/2018,63
10/28/2018,64.2
10/29/2018,65.4
10/30/2018,66.8
10/31/2018,62.6
11/1/2018,61.6
11/2/2018,60
11/3/2018,58.2
11/4/2018,56.6
11/5/2018,63.6
11/6/2018,63.8
11/7/2018,60
11/8/2018,61.2
11/9/2018,59
11/10/2018,59.2
11/11/2018,59.6
11/12/2018,60
11/13/2018,57.4
11/14/2018,56.2
11/15/2018,63.6
11/16/2018,65
11/17/2018,63.8
11/18/2018,63.4
11/19/2018,62
11/20/2018,66
11/21/2018,70.4
11/22/2018,77
11/23/2018,71
11/24/2018,65
11/25/2018,66
11/26/2018,73.4
11/27/2018,62.6
11/28/2018,54.2
11/29/2018,55.8
11/30/2018,56.6
12/1/2018,60.6
12/2/2018,61.4
12/3/2018,65.2
12/4/2018,70.2
12/5/2018,66.4
12/6/2018,61.6
12/7/2018,54
12/8/2018,49.4
12/9/2018,56.4
12/10/2018,62
12/11/2018,62.4
12/12/2018,60.8
12/13/2018,62.4
12/14/2018,66.6
12/15/2018,67.4
12/16/2018,69
12/17/2018,62.4
12/18/2018,60
12/19/2018,68
12/20/2018,71
12/21/2018,70.2
12/22/2018,68.6
12/23/2018,69.6
12/24/2018,68.6
12/25/2018,67.8
12/26/2018,66.8
12/27/2018,64.6
12/28/2018,61
12/29/2018,58.4
12/30/2018,58.6
12/31/2018,54.4
1/1/2019,50
1/2/2019,59.4
1/3/2019,64
1/4/2019,60.6
1/5/2019,64
1/6/2019,64.2
1/7/2019,56.8
1/8/2019,57.2
1/9/2019,57.6
1/10/2019,62
1/11/2019,59
1/12/2019,53.8
1/13/2019,51.2
1/14/2019,58.2
1/15/2019,58.2
1/16/2019,58.2
1/17/2019,56
1/18/2019,57
1/19/2019,62
1/20/2019,61.2
1/21/2019,61.4
1/22/2019,68.4
1/23/2019,83.4
1/24/2019,80.2
1/25/2019,59.8
1/26/2019,50.6
1/27/2019,49.8
1/28/2019,56.8
1/29/2019,58.6
1/30/2019,58.2
1/31/2019,57.2
2/1/2019,57.2
2/2/2019,53.8
2/3/2019,52
2/4/2019,53
2/5/2019,52.4
2/6/2019,51.8
2/7/2019,51.2
2/8/2019,50.4
2/9/2019,49.4
2/10/2019,52.4
2/11/2019,55.4
2/12/2019,52
2/13/2019,50.2
2/14/2019,51.2
2/15/2019,48.2
2/16/2019,45.8
2/17/2019,46.8
2/18/2019,45
2/19/2019,45.8
2/20/2019,46.4
2/21/2019,48
2/22/2019,46.4
2/23/2019,46.2
2/24/2019,45.8
2/25/2019,46.6
2/26/2019,47.4
2/27/2019,48.2
2/28/2019,48.4
3/1/2019,50.4
3/2/2019,48.8
3/3/2019,46
3/4/2019,46.2
3/5/2019,47
3/6/2019,45.2
3/7/2019,44.6
3/8/2019,46.2
3/9/2019,43.8
3/10/2019,46
3/11/2019,45.8
3/12/2019,37
3/13/2019,30.8
3/14/2019,40.6
3/15/2019,41
3/16/2019,40.8
3/17/2019,43.6
3/18/2019,47.2
3/19/2019,44
3/20/2019,45.8
3/21/2019,48
3/22/2019,44.4
3/23/2019,39.4
3/24/2019,35
3/25/2019,34.8
3/26/2019,34.6
3/27/2019,37.8
3/28/2019,40.4
3/29/2019,39.2
3/30/2019,38.6
3/31/2019,37
4/1/2019,39
4/2/2019,41.2
4/3/2019,44.4
4/4/2019,44.4
4/5/2019,45.2
4/6/2019,48.6
4/7/2019,48.8
4/8/2019,47.2
4/9/2019,46.2
4/10/2019,45.4
4/11/2019,44
4/12/2019,44.6
4/13/2019,44
4/14/2019,41.4
4/15/2019,42.8
4/16/2019,46.6
4/17/2019,47.2
4/18/2019,46.8
4/19/2019,45.4
4/20/2019,41.8
4/21/2019,38.4
4/22/2019,38.2
4/23/2019,39
4/24/2019,42.6
4/25/2019,40.6
4/26/2019,36.8
4/27/2019,39
4/28/2019,43.2
4/29/2019,42.2
4/30/2019,44.2
5/1/2019,45.8
5/2/2019,45.8
5/3/2019,43.4
5/4/2019,39.2
5/5/2019,41
5/6/2019,42.6
5/7/2019,47.4
5/8/2019,50.2
5/9/2019,55.4
5/10/2019,50.6
5/11/2019,44
5/12/2019,41.4
5/13/2019,39.6
5/14/2019,36.4
5/15/2019,36.8
5/16/2019,36
5/17/2019,40.8
5/18/2019,44.2
5/19/2019,45
5/20/2019,45.8
5/21/2019,42.4
5/22/2019,40
5/23/2019,36.8
5/24/2019,35.4
5/25/2019,31
5/26/2019,20.8
5/27/2019,28.8
5/28/2019,35.2
5/29/2019,34
5/30/2019,30.4
5/31/2019,35
6/1/2019,34.8
6/2/2019,32.6
6/3/2019,34.8
6/4/2019,36.8
6/5/2019,36.2
6/6/2019,38.2
6/7/2019,41.8
6/8/2019,44.6
6/9/2019,44.6
6/10/2019,42.2
6/11/2019,42.6
6/12/2019,40.8
6/13/2019,42.2
6/14/2019,39.6
6/15/2019,38.6
6/16/2019,36.8
6/17/2019,34.4
6/18/2019,40.6
6/19/2019,45.8
6/20/2019,42
6/21/2019,37.6
6/22/2019,34.8
6/23/2019,41.6
6/24/2019,54
6/25/2019,44.6
6/26/2019,37
6/27/2019,35.6
6/28/2019,36.6
6/29/2019,39
6/30/2019,32.2
7/1/2019,34.6
7/2/2019,35.2
7/3/2019,37.6
7/4/2019,38.8
7/5/2019,39.4
7/6/2019,36.4
7/7/2019,35.4
7/8/2019,40
7/9/2019,40.8
7/10/2019,41.4
7/11/2019,46.2
7/12/2019,44.8
